0000000045326.48,45326.48,45326.48,21-09-12-09-12
0000000045307.46,45307.46,45307.46,21-09-12-09-13
0000000045307.46,45307.46,45307.46,21-09-12-09-14
0000000045307.58,45307.58,45307.58,21-09-12-09-15
0000000045295.9,45295.9,45295.9,21-09-12-09-16
0000000045282.74,45282.74,45282.74,21-09-12-09-17
0000000045266.27,45266.27,45266.27,21-09-12-09-18
0000000045290.82,45290.82,45290.82,21-09-12-09-19
0000000045293.44,45293.44,45293.44,21-09-12-09-20
0000000045315.15,45315.15,45315.15,21-09-12-09-21
0000000045326.58,45326.58,45326.58,21-09-12-09-22
0000000045326.58,45326.58,45326.58,21-09-12-09-23
0000000045323.14,45323.14,45323.14,21-09-12-09-24
0000000045322.54,45322.54,45322.54,21-09-12-09-25
0000000045336.99,45336.99,45336.99,21-09-12-09-26
0000000045385.36,45385.36,45385.36,21-09-12-09-27
0000000045370.54,45370.54,45370.54,21-09-12-09-28
0000000045381.68,45381.68,45381.68,21-09-12-09-29
0000000045336.73,45336.73,45336.73,21-09-12-09-30
0000000045336.73,45336.73,45336.73,21-09-12-09-31
0000000045303.67,45303.67,45303.67,21-09-12-09-32
0000000045308.07,45308.07,45308.07,21-09-12-09-33
0000000045309.97,45309.97,45309.97,21-09-12-09-34
0000000045288.31,45288.31,45288.31,21-09-12-09-35
0000000045312.48,45312.48,45312.48,21-09-12-09-37
0000000045312.48,45312.48,45312.48,21-09-12-09-38
0000000045314.8,45314.8,45314.8,21-09-12-09-39
0000000045314.8,45314.8,45314.8,21-09-12-09-40
0000000045308.44,45308.44,45308.44,21-09-12-09-41
0000000045316.82,45316.82,45316.82,21-09-12-09-42
0000000045272.17,45272.17,45272.17,21-09-12-09-43
0000000045272.17,45272.17,45272.17,21-09-12-09-44
0000000045249.91,45249.91,45249.91,21-09-12-09-45
0000000045249.91,45249.91,45249.91,21-09-12-09-46
0000000045229.3,45229.3,45229.3,21-09-12-09-47
0000000045207.91,45207.91,45207.91,21-09-12-09-48
0000000045201.8,45201.8,45201.8,21-09-12-09-49
0000000045201.8,45201.8,45201.8,21-09-12-09-50
0000000045197.28,45197.28,45197.28,21-09-12-09-51
0000000045195.16,45195.16,45195.16,21-09-12-09-52
0000000045198.38,45198.38,45198.38,21-09-12-09-53
0000000045159.05,45159.05,45159.05,21-09-12-09-54
0000000045166.43,45166.43,45166.43,21-09-12-09-55
0000000045166.43,45166.43,45166.43,21-09-12-09-56
0000000045186.98,45186.98,45186.98,21-09-12-09-57
0000000045178.05,45178.05,45178.05,21-09-12-09-58
0000000045191.17,45191.17,45191.17,21-09-12-09-59
0000000045182.05,45182.05,45182.05,21-09-12-10-00
0000000045182.05,45182.05,45182.05,21-09-12-10-01
0000000045185.59,45185.59,45185.59,21-09-12-10-02
0000000045186.06,45186.06,45186.06,21-09-12-10-03
0000000045184.69,45184.69,45184.69,21-09-12-10-04
0000000045184.82,45184.82,45184.82,21-09-12-10-05
0000000045173.46,45173.46,45173.46,21-09-12-10-06
0000000045156.34,45156.34,45156.34,21-09-12-10-07
0000000045150.38,45150.38,45150.38,21-09-12-10-08
0000000045123.26,45123.26,45123.26,21-09-12-10-09
0000000045142.1,45142.1,45142.1,21-09-12-10-10
0000000045145.93,45145.93,45145.93,21-09-12-10-11
0000000045138.05,45138.05,45138.05,21-09-12-10-12
0000000045141.72,45141.72,45141.72,21-09-12-10-13
0000000045143.52,45143.52,45143.52,21-09-12-10-14
0000000045139.51,45139.51,45139.51,21-09-12-10-15
0000000045145.89,45145.89,45145.89,21-09-12-10-16
0000000045141.54,45141.54,45141.54,21-09-12-10-17
0000000045137.94,45137.94,45137.94,21-09-12-10-18
0000000045141.14,45141.14,45141.14,21-09-12-10-19
0000000045138.84,45138.84,45138.84,21-09-12-10-20
0000000045138.53,45138.53,45138.53,21-09-12-10-21
0000000045136.03,45136.03,45136.03,21-09-12-10-22
0000000045136.02,45136.02,45136.02,21-09-12-10-23
0000000045118.57,45118.57,45118.57,21-09-12-10-24
0000000045103.56,45103.56,45103.56,21-09-12-10-25
0000000045104.11,45104.11,45104.11,21-09-12-10-26
0000000045090.73,45090.73,45090.73,21-09-12-10-27
0000000045106.78,45106.78,45106.78,21-09-12-10-28
0000000045104.26,45104.26,45104.26,21-09-12-10-29
0000000045112.35,45112.35,45112.35,21-09-12-10-30
0000000045113.62,45113.62,45113.62,21-09-12-10-31
0000000045119.81,45119.81,45119.81,21-09-12-10-32
0000000045135.5,45135.5,45135.5,21-09-12-10-33
0000000045137.06,45137.06,45137.06,21-09-12-10-34
0000000045138.99,45138.99,45138.99,21-09-12-10-35
0000000045153.77,45153.77,45153.77,21-09-12-10-36
0000000045168.59,45168.59,45168.59,21-09-12-10-37
0000000045168.59,45168.59,45168.59,21-09-12-10-38
0000000045181.83,45181.83,45181.83,21-09-12-10-39
0000000045226.52,45226.52,45226.52,21-09-12-10-40
0000000045219.85,45219.85,45219.85,21-09-12-10-41
0000000045224.66,45224.66,45224.66,21-09-12-10-42
0000000045222.03,45222.03,45222.03,21-09-12-10-43
0000000045221.98,45221.98,45221.98,21-09-12-10-44
0000000045219.1,45219.1,45219.1,21-09-12-10-45
0000000045266.65,45266.65,45266.65,21-09-12-10-46
0000000045269.72,45269.72,45269.72,21-09-12-10-47
0000000045285.42,45285.42,45285.42,21-09-12-10-48
0000000045290.98,45290.98,45290.98,21-09-12-10-49
0000000045302.85,45302.85,45302.85,21-09-12-10-50
0000000045302.85,45302.85,45302.85,21-09-12-10-51
0000000045305.6,45305.6,45305.6,21-09-12-10-52
0000000045303.17,45303.17,45303.17,21-09-12-10-53
0000000045306.77,45306.77,45306.77,21-09-12-10-54
0000000045374.62,45374.62,45374.62,21-09-12-10-55
0000000045360.66,45360.66,45360.66,21-09-12-10-56
0000000045364.97,45364.97,45364.97,21-09-12-10-57
0000000045369.85,45369.85,45369.85,21-09-12-10-59
0000000045374.33,45374.33,45374.33,21-09-12-11-00
0000000045364.96,45364.96,45364.96,21-09-12-11-01
0000000045351.11,45351.11,45351.11,21-09-12-11-02
0000000045362.99,45362.99,45362.99,21-09-12-11-03
0000000045351.44,45351.44,45351.44,21-09-12-11-04
0000000045351.44,45351.44,45351.44,21-09-12-11-05
0000000045407.15,45407.15,45407.15,21-09-12-11-06
0000000045407.15,45407.15,45407.15,21-09-12-11-07
0000000045357.6,45357.6,45357.6,21-09-12-11-08
0000000045357.6,45357.6,45357.6,21-09-12-11-09
0000000045356.18,45356.18,45356.18,21-09-12-11-10
0000000045336.03,45336.03,45336.03,21-09-12-11-11
0000000045351.08,45351.08,45351.08,21-09-12-11-12
0000000045336.71,45336.71,45336.71,21-09-12-11-13
0000000045410.08,45410.08,45410.08,21-09-12-11-14
0000000045410.08,45410.08,45410.08,21-09-12-11-15
0000000045638.8,45638.8,45638.8,21-09-12-11-16
0000000045638.8,45638.8,45638.8,21-09-12-11-17
0000000045679.86,45679.86,45679.86,21-09-12-11-18
0000000045668.34,45668.34,45668.34,21-09-12-11-19
0000000045906.28,45906.28,45906.28,21-09-12-11-20
0000000045960.41,45960.41,45960.41,21-09-12-11-21
0000000045909.61,45909.61,45909.61,21-09-12-11-22
0000000045967.27,45967.27,45967.27,21-09-12-11-23
0000000045982.65,45982.65,45982.65,21-09-12-11-24
0000000045987.24,45987.24,45987.24,21-09-12-11-25
0000000045981.47,45981.47,45981.47,21-09-12-11-26
0000000045883.05,45883.05,45883.05,21-09-12-11-27
0000000045916.47,45916.47,45916.47,21-09-12-11-28
0000000045917.11,45917.11,45917.11,21-09-12-11-29
0000000045909.99,45909.99,45909.99,21-09-12-11-30
0000000045956.7,45956.7,45956.7,21-09-12-11-31
0000000045955.79,45955.79,45955.79,21-09-12-11-32
0000000045936.61,45936.61,45936.61,21-09-12-11-33
0000000045922.04,45922.04,45922.04,21-09-12-11-34
0000000045914.61,45914.61,45914.61,21-09-12-11-35
0000000045952.99,45952.99,45952.99,21-09-12-11-36
0000000045972.56,45972.56,45972.56,21-09-12-11-37
0000000045981.64,45981.64,45981.64,21-09-12-11-38
0000000045962.6,45962.6,45962.6,21-09-12-11-39
0000000045977.54,45977.54,45977.54,21-09-12-11-40
0000000045980.33,45980.33,45980.33,21-09-12-11-41
0000000046030.33,46030.33,46030.33,21-09-12-11-42
0000000045986.97,45986.97,45986.97,21-09-12-11-43
0000000045983.44,45983.44,45983.44,21-09-12-11-44
0000000046000.29,46000.29,46000.29,21-09-12-11-45
0000000045988.86,45988.86,45988.86,21-09-12-11-46
0000000045982.0,45982.0,45982.0,21-09-12-11-47
0000000045976.55,45976.55,45976.55,21-09-12-11-48
0000000045978.47,45978.47,45978.47,21-09-12-11-49
0000000045952.61,45952.61,45952.61,21-09-12-11-50
0000000045932.39,45932.39,45932.39,21-09-12-11-51
0000000045958.88,45958.88,45958.88,21-09-12-11-52
0000000045942.69,45942.69,45942.69,21-09-12-11-53
0000000045969.49,45969.49,45969.49,21-09-12-11-54
0000000045977.91,45977.91,45977.91,21-09-12-11-55
0000000046012.51,46012.51,46012.51,21-09-12-11-56
0000000045997.24,45997.24,45997.24,21-09-12-11-57
0000000046009.39,46009.39,46009.39,21-09-12-11-58
0000000046068.22,46068.22,46068.22,21-09-12-11-59
0000000046124.67,46124.67,46124.67,21-09-12-12-00
0000000046076.24,46076.24,46076.24,21-09-12-12-01
0000000046076.24,46076.24,46076.24,21-09-12-12-02
0000000046072.37,46072.37,46072.37,21-09-12-12-03
0000000046072.37,46072.37,46072.37,21-09-12-12-04
0000000046061.24,46061.24,46061.24,21-09-12-12-05
0000000046061.24,46061.24,46061.24,21-09-12-12-06
0000000046042.66,46042.66,46042.66,21-09-12-12-07
0000000046042.66,46042.66,46042.66,21-09-12-12-08
0000000046039.51,46039.51,46039.51,21-09-12-12-09
