00000000802.95016303,45371.21,,21-09-12-07-25
00000000802.84675569,45371.23,,21-09-12-07-26
00000000802.75240662,45371.26,,21-09-12-07-27
00000000802.73011409,45371.26,,21-09-12-07-28
00000000802.45484115,45371.30,,21-09-12-07-29
00000000802.27265101,45371.34,,21-09-12-07-30
